chunk_id,combination_id,permutation_index,components,values,assembled_text
CHUNK1,chunk1_perm_061,61,T1|T2|T4,rhino named Ruby|a colorful Mexican sombrero|a pair of large racing goggles,rhino named Ruby a colorful Mexican sombrero a pair of large racing goggles
CHUNK1,chunk1_perm_062,62,T1|T2|T4,rhino named Ruby|a colorful Mexican sombrero|heart shaped glasses,rhino named Ruby a colorful Mexican sombrero heart shaped glasses
CHUNK1,chunk1_perm_063,63,T1|T2|T4,rhino named Ruby|a colorful Mexican sombrero|a yellow eye patch over one eye,rhino named Ruby a colorful Mexican sombrero a yellow eye patch over one eye
CHUNK1,chunk1_perm_064,64,T1|T2|T4,rhino named Ruby|a colorful Mexican sombrero|a gummy bear nose piercing,rhino named Ruby a colorful Mexican sombrero a gummy bear nose piercing
CHUNK1,chunk1_perm_065,65,T1|T2|T4,rhino named Ruby|a colorful Mexican sombrero|sky blue eye shadow,rhino named Ruby a colorful Mexican sombrero sky blue eye shadow
CHUNK1,chunk1_perm_066,66,T1|T2|T4,rhino named Ruby|a colorful Mexican sombrero|pink fuzzy frame glasses,rhino named Ruby a colorful Mexican sombrero pink fuzzy frame glasses
CHUNK1,chunk1_perm_067,67,T1|T2|T4,rhino named Ruby|a colorful Mexican sombrero|glasses covered in large buttons,rhino named Ruby a colorful Mexican sombrero glasses covered in large buttons
CHUNK1,chunk1_perm_068,68,T1|T2|T4,rhino named Ruby|a colorful Mexican sombrero|mirrored cycling sunglasses,rhino named Ruby a colorful Mexican sombrero mirrored cycling sunglasses
CHUNK1,chunk1_perm_069,69,T1|T2|T4,rhino named Ruby|a colorful Mexican sombrero|a monocle on a chain,rhino named Ruby a colorful Mexican sombrero a monocle on a chain
CHUNK1,chunk1_perm_070,70,T1|T2|T4,rhino named Ruby|a Russian Trapper Hat|a pair of broken spectacles held together with tape,rhino named Ruby a Russian Trapper Hat a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_071,71,T1|T2|T4,rhino named Ruby|a Russian Trapper Hat|a pair of large racing goggles,rhino named Ruby a Russian Trapper Hat a pair of large racing goggles
CHUNK1,chunk1_perm_072,72,T1|T2|T4,rhino named Ruby|a Russian Trapper Hat|heart shaped glasses,rhino named Ruby a Russian Trapper Hat heart shaped glasses
CHUNK1,chunk1_perm_073,73,T1|T2|T4,rhino named Ruby|a Russian Trapper Hat|a yellow eye patch over one eye,rhino named Ruby a Russian Trapper Hat a yellow eye patch over one eye
CHUNK1,chunk1_perm_074,74,T1|T2|T4,rhino named Ruby|a Russian Trapper Hat|a gummy bear nose piercing,rhino named Ruby a Russian Trapper Hat a gummy bear nose piercing
CHUNK1,chunk1_perm_075,75,T1|T2|T4,rhino named Ruby|a Russian Trapper Hat|sky blue eye shadow,rhino named Ruby a Russian Trapper Hat sky blue eye shadow
CHUNK1,chunk1_perm_076,76,T1|T2|T4,rhino named Ruby|a Russian Trapper Hat|pink fuzzy frame glasses,rhino named Ruby a Russian Trapper Hat pink fuzzy frame glasses
CHUNK1,chunk1_perm_077,77,T1|T2|T4,rhino named Ruby|a Russian Trapper Hat|glasses covered in large buttons,rhino named Ruby a Russian Trapper Hat glasses covered in large buttons
CHUNK1,chunk1_perm_078,78,T1|T2|T4,rhino named Ruby|a Russian Trapper Hat|mirrored cycling sunglasses,rhino named Ruby a Russian Trapper Hat mirrored cycling sunglasses
CHUNK1,chunk1_perm_079,79,T1|T2|T4,rhino named Ruby|a Russian Trapper Hat|a monocle on a chain,rhino named Ruby a Russian Trapper Hat a monocle on a chain
CHUNK1,chunk1_perm_080,80,T1|T2|T4,rhino named Ruby|a knight's helmet|a pair of broken spectacles held together with tape,rhino named Ruby a knight's helmet a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_081,81,T1|T2|T4,rhino named Ruby|a knight's helmet|a pair of large racing goggles,rhino named Ruby a knight's helmet a pair of large racing goggles
CHUNK1,chunk1_perm_082,82,T1|T2|T4,rhino named Ruby|a knight's helmet|heart shaped glasses,rhino named Ruby a knight's helmet heart shaped glasses
CHUNK1,chunk1_perm_083,83,T1|T2|T4,rhino named Ruby|a knight's helmet|a yellow eye patch over one eye,rhino named Ruby a knight's helmet a yellow eye patch over one eye
CHUNK1,chunk1_perm_084,84,T1|T2|T4,rhino named Ruby|a knight's helmet|a gummy bear nose piercing,rhino named Ruby a knight's helmet a gummy bear nose piercing
CHUNK1,chunk1_perm_085,85,T1|T2|T4,rhino named Ruby|a knight's helmet|sky blue eye shadow,rhino named Ruby a knight's helmet sky blue eye shadow
CHUNK1,chunk1_perm_086,86,T1|T2|T4,rhino named Ruby|a knight's helmet|pink fuzzy frame glasses,rhino named Ruby a knight's helmet pink fuzzy frame glasses
CHUNK1,chunk1_perm_087,87,T1|T2|T4,rhino named Ruby|a knight's helmet|glasses covered in large buttons,rhino named Ruby a knight's helmet glasses covered in large buttons
CHUNK1,chunk1_perm_088,88,T1|T2|T4,rhino named Ruby|a knight's helmet|mirrored cycling sunglasses,rhino named Ruby a knight's helmet mirrored cycling sunglasses
CHUNK1,chunk1_perm_089,89,T1|T2|T4,rhino named Ruby|a knight's helmet|a monocle on a chain,rhino named Ruby a knight's helmet a monocle on a chain
CHUNK1,chunk1_perm_090,90,T1|T2|T4,rhino named Ruby|a flamboyant hat of swan feathers|a pair of broken spectacles held together with tape,rhino named Ruby a flamboyant hat of swan feathers a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_091,91,T1|T2|T4,rhino named Ruby|a flamboyant hat of swan feathers|a pair of large racing goggles,rhino named Ruby a flamboyant hat of swan feathers a pair of large racing goggles
CHUNK1,chunk1_perm_092,92,T1|T2|T4,rhino named Ruby|a flamboyant hat of swan feathers|heart shaped glasses,rhino named Ruby a flamboyant hat of swan feathers heart shaped glasses
CHUNK1,chunk1_perm_093,93,T1|T2|T4,rhino named Ruby|a flamboyant hat of swan feathers|a yellow eye patch over one eye,rhino named Ruby a flamboyant hat of swan feathers a yellow eye patch over one eye
CHUNK1,chunk1_perm_094,94,T1|T2|T4,rhino named Ruby|a flamboyant hat of swan feathers|a gummy bear nose piercing,rhino named Ruby a flamboyant hat of swan feathers a gummy bear nose piercing
CHUNK1,chunk1_perm_095,95,T1|T2|T4,rhino named Ruby|a flamboyant hat of swan feathers|sky blue eye shadow,rhino named Ruby a flamboyant hat of swan feathers sky blue eye shadow
CHUNK1,chunk1_perm_096,96,T1|T2|T4,rhino named Ruby|a flamboyant hat of swan feathers|pink fuzzy frame glasses,rhino named Ruby a flamboyant hat of swan feathers pink fuzzy frame glasses
CHUNK1,chunk1_perm_097,97,T1|T2|T4,rhino named Ruby|a flamboyant hat of swan feathers|glasses covered in large buttons,rhino named Ruby a flamboyant hat of swan feathers glasses covered in large buttons
CHUNK1,chunk1_perm_098,98,T1|T2|T4,rhino named Ruby|a flamboyant hat of swan feathers|mirrored cycling sunglasses,rhino named Ruby a flamboyant hat of swan feathers mirrored cycling sunglasses
CHUNK1,chunk1_perm_099,99,T1|T2|T4,rhino named Ruby|a flamboyant hat of swan feathers|a monocle on a chain,rhino named Ruby a flamboyant hat of swan feathers a monocle on a chain
CHUNK1,chunk1_perm_100,100,T1|T2|T4,mouse named Maxine|a tall cowboy hat with a star on it|a pair of broken spectacles held together with tape,mouse named Maxine a tall cowboy hat with a star on it a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_101,101,T1|T2|T4,mouse named Maxine|a tall cowboy hat with a star on it|a pair of large racing goggles,mouse named Maxine a tall cowboy hat with a star on it a pair of large racing goggles
CHUNK1,chunk1_perm_102,102,T1|T2|T4,mouse named Maxine|a tall cowboy hat with a star on it|heart shaped glasses,mouse named Maxine a tall cowboy hat with a star on it heart shaped glasses
CHUNK1,chunk1_perm_103,103,T1|T2|T4,mouse named Maxine|a tall cowboy hat with a star on it|a yellow eye patch over one eye,mouse named Maxine a tall cowboy hat with a star on it a yellow eye patch over one eye
CHUNK1,chunk1_perm_104,104,T1|T2|T4,mouse named Maxine|a tall cowboy hat with a star on it|a gummy bear nose piercing,mouse named Maxine a tall cowboy hat with a star on it a gummy bear nose piercing
CHUNK1,chunk1_perm_105,105,T1|T2|T4,mouse named Maxine|a tall cowboy hat with a star on it|sky blue eye shadow,mouse named Maxine a tall cowboy hat with a star on it sky blue eye shadow
CHUNK1,chunk1_perm_106,106,T1|T2|T4,mouse named Maxine|a tall cowboy hat with a star on it|pink fuzzy frame glasses,mouse named Maxine a tall cowboy hat with a star on it pink fuzzy frame glasses
CHUNK1,chunk1_perm_107,107,T1|T2|T4,mouse named Maxine|a tall cowboy hat with a star on it|glasses covered in large buttons,mouse named Maxine a tall cowboy hat with a star on it glasses covered in large buttons
CHUNK1,chunk1_perm_108,108,T1|T2|T4,mouse named Maxine|a tall cowboy hat with a star on it|mirrored cycling sunglasses,mouse named Maxine a tall cowboy hat with a star on it mirrored cycling sunglasses
CHUNK1,chunk1_perm_109,109,T1|T2|T4,mouse named Maxine|a tall cowboy hat with a star on it|a monocle on a chain,mouse named Maxine a tall cowboy hat with a star on it a monocle on a chain
CHUNK1,chunk1_perm_110,110,T1|T2|T4,mouse named Maxine|a avant garde purple mohawk|a pair of broken spectacles held together with tape,mouse named Maxine a avant garde purple mohawk a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_111,111,T1|T2|T4,mouse named Maxine|a avant garde purple mohawk|a pair of large racing goggles,mouse named Maxine a avant garde purple mohawk a pair of large racing goggles
CHUNK1,chunk1_perm_112,112,T1|T2|T4,mouse named Maxine|a avant garde purple mohawk|heart shaped glasses,mouse named Maxine a avant garde purple mohawk heart shaped glasses
CHUNK1,chunk1_perm_113,113,T1|T2|T4,mouse named Maxine|a avant garde purple mohawk|a yellow eye patch over one eye,mouse named Maxine a avant garde purple mohawk a yellow eye patch over one eye
CHUNK1,chunk1_perm_114,114,T1|T2|T4,mouse named Maxine|a avant garde purple mohawk|a gummy bear nose piercing,mouse named Maxine a avant garde purple mohawk a gummy bear nose piercing
CHUNK1,chunk1_perm_115,115,T1|T2|T4,mouse named Maxine|a avant garde purple mohawk|sky blue eye shadow,mouse named Maxine a avant garde purple mohawk sky blue eye shadow
CHUNK1,chunk1_perm_116,116,T1|T2|T4,mouse named Maxine|a avant garde purple mohawk|pink fuzzy frame glasses,mouse named Maxine a avant garde purple mohawk pink fuzzy frame glasses
CHUNK1,chunk1_perm_117,117,T1|T2|T4,mouse named Maxine|a avant garde purple mohawk|glasses covered in large buttons,mouse named Maxine a avant garde purple mohawk glasses covered in large buttons
CHUNK1,chunk1_perm_118,118,T1|T2|T4,mouse named Maxine|a avant garde purple mohawk|mirrored cycling sunglasses,mouse named Maxine a avant garde purple mohawk mirrored cycling sunglasses
CHUNK1,chunk1_perm_119,119,T1|T2|T4,mouse named Maxine|a avant garde purple mohawk|a monocle on a chain,mouse named Maxine a avant garde purple mohawk a monocle on a chain
CHUNK1,chunk1_perm_120,120,T1|T2|T4,mouse named Maxine|a sideways baseball cap|a pair of broken spectacles held together with tape,mouse named Maxine a sideways baseball cap a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_121,121,T1|T2|T4,mouse named Maxine|a sideways baseball cap|a pair of large racing goggles,mouse named Maxine a sideways baseball cap a pair of large racing goggles
CHUNK1,chunk1_perm_122,122,T1|T2|T4,mouse named Maxine|a sideways baseball cap|heart shaped glasses,mouse named Maxine a sideways baseball cap heart shaped glasses
CHUNK1,chunk1_perm_123,123,T1|T2|T4,mouse named Maxine|a sideways baseball cap|a yellow eye patch over one eye,mouse named Maxine a sideways baseball cap a yellow eye patch over one eye
CHUNK1,chunk1_perm_124,124,T1|T2|T4,mouse named Maxine|a sideways baseball cap|a gummy bear nose piercing,mouse named Maxine a sideways baseball cap a gummy bear nose piercing
CHUNK1,chunk1_perm_125,125,T1|T2|T4,mouse named Maxine|a sideways baseball cap|sky blue eye shadow,mouse named Maxine a sideways baseball cap sky blue eye shadow
CHUNK1,chunk1_perm_126,126,T1|T2|T4,mouse named Maxine|a sideways baseball cap|pink fuzzy frame glasses,mouse named Maxine a sideways baseball cap pink fuzzy frame glasses
CHUNK1,chunk1_perm_127,127,T1|T2|T4,mouse named Maxine|a sideways baseball cap|glasses covered in large buttons,mouse named Maxine a sideways baseball cap glasses covered in large buttons
CHUNK1,chunk1_perm_128,128,T1|T2|T4,mouse named Maxine|a sideways baseball cap|mirrored cycling sunglasses,mouse named Maxine a sideways baseball cap mirrored cycling sunglasses
CHUNK1,chunk1_perm_129,129,T1|T2|T4,mouse named Maxine|a sideways baseball cap|a monocle on a chain,mouse named Maxine a sideways baseball cap a monocle on a chain
CHUNK1,chunk1_perm_130,130,T1|T2|T4,mouse named Maxine|a tiara of french fries|a pair of broken spectacles held together with tape,mouse named Maxine a tiara of french fries a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_131,131,T1|T2|T4,mouse named Maxine|a tiara of french fries|a pair of large racing goggles,mouse named Maxine a tiara of french fries a pair of large racing goggles
CHUNK1,chunk1_perm_132,132,T1|T2|T4,mouse named Maxine|a tiara of french fries|heart shaped glasses,mouse named Maxine a tiara of french fries heart shaped glasses
CHUNK1,chunk1_perm_133,133,T1|T2|T4,mouse named Maxine|a tiara of french fries|a yellow eye patch over one eye,mouse named Maxine a tiara of french fries a yellow eye patch over one eye
CHUNK1,chunk1_perm_134,134,T1|T2|T4,mouse named Maxine|a tiara of french fries|a gummy bear nose piercing,mouse named Maxine a tiara of french fries a gummy bear nose piercing
CHUNK1,chunk1_perm_135,135,T1|T2|T4,mouse named Maxine|a tiara of french fries|sky blue eye shadow,mouse named Maxine a tiara of french fries sky blue eye shadow
CHUNK1,chunk1_perm_136,136,T1|T2|T4,mouse named Maxine|a tiara of french fries|pink fuzzy frame glasses,mouse named Maxine a tiara of french fries pink fuzzy frame glasses
CHUNK1,chunk1_perm_137,137,T1|T2|T4,mouse named Maxine|a tiara of french fries|glasses covered in large buttons,mouse named Maxine a tiara of french fries glasses covered in large buttons
CHUNK1,chunk1_perm_138,138,T1|T2|T4,mouse named Maxine|a tiara of french fries|mirrored cycling sunglasses,mouse named Maxine a tiara of french fries mirrored cycling sunglasses
CHUNK1,chunk1_perm_139,139,T1|T2|T4,mouse named Maxine|a tiara of french fries|a monocle on a chain,mouse named Maxine a tiara of french fries a monocle on a chain
CHUNK1,chunk1_perm_140,140,T1|T2|T4,mouse named Maxine|a fruit-adorned headdress|a pair of broken spectacles held together with tape,mouse named Maxine a fruit-adorned headdress a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_141,141,T1|T2|T4,mouse named Maxine|a fruit-adorned headdress|a pair of large racing goggles,mouse named Maxine a fruit-adorned headdress a pair of large racing goggles
CHUNK1,chunk1_perm_142,142,T1|T2|T4,mouse named Maxine|a fruit-adorned headdress|heart shaped glasses,mouse named Maxine a fruit-adorned headdress heart shaped glasses
CHUNK1,chunk1_perm_143,143,T1|T2|T4,mouse named Maxine|a fruit-adorned headdress|a yellow eye patch over one eye,mouse named Maxine a fruit-adorned headdress a yellow eye patch over one eye
CHUNK1,chunk1_perm_144,144,T1|T2|T4,mouse named Maxine|a fruit-adorned headdress|a gummy bear nose piercing,mouse named Maxine a fruit-adorned headdress a gummy bear nose piercing
CHUNK1,chunk1_perm_145,145,T1|T2|T4,mouse named Maxine|a fruit-adorned headdress|sky blue eye shadow,mouse named Maxine a fruit-adorned headdress sky blue eye shadow
CHUNK1,chunk1_perm_146,146,T1|T2|T4,mouse named Maxine|a fruit-adorned headdress|pink fuzzy frame glasses,mouse named Maxine a fruit-adorned headdress pink fuzzy frame glasses
CHUNK1,chunk1_perm_147,147,T1|T2|T4,mouse named Maxine|a fruit-adorned headdress|glasses covered in large buttons,mouse named Maxine a fruit-adorned headdress glasses covered in large buttons
CHUNK1,chunk1_perm_148,148,T1|T2|T4,mouse named Maxine|a fruit-adorned headdress|mirrored cycling sunglasses,mouse named Maxine a fruit-adorned headdress mirrored cycling sunglasses
CHUNK1,chunk1_perm_149,149,T1|T2|T4,mouse named Maxine|a fruit-adorned headdress|a monocle on a chain,mouse named Maxine a fruit-adorned headdress a monocle on a chain
CHUNK1,chunk1_perm_150,150,T1|T2|T4,mouse named Maxine|a bonnet knitted from dandelions|a pair of broken spectacles held together with tape,mouse named Maxine a bonnet knitted from dandelions a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_151,151,T1|T2|T4,mouse named Maxine|a bonnet knitted from dandelions|a pair of large racing goggles,mouse named Maxine a bonnet knitted from dandelions a pair of large racing goggles
